author,title,date,station,url,mp3_url,story_id
Алан Кубатиев,Штрудель по-венски,2021-11-28,"Гастропаб ""Гаражане""",http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1694&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/grey2000/2021/11/01_Alan_Kubatiev_-_Strudel_po-venski.mp3,1694
Ника Батхен,Сказка блошиного рынка,2020-07-25,Поленовский пикник,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1679&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/06/03_Nika_Bathen_-_Skazka_bloshinogo_rinka_(v_2).mp3,1679
Юлия Гладкая,Кот там,2020-07-25,Поленовский пикник,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1678&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/06/02_Yuliya_Gladkaya_-_Kot_tam_(v_2).mp3,1678
Леонид Каганов,Про тигрёнка,2020-07-25,Поленовский пикник,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1677&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/06/01_Leonid_Kaganov_-_Pro_Tigrenka.mp3,1677
Далия Трускиновская,Пёрышко,2020-12-30,Клуб «Mezzo Forte»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1689&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/12/02_Daliya_Truskinovskaya_-_Perishko.mp3,1689
Андрей Буторин,Снежные ходики,2020-12-30,Клуб «Mezzo Forte»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1688&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/12/01_Andrey_Butorin_-_Snezhnie_hodiki.mp3,1688
Ника Батхен,Кончик иглы,2021-07-10,Глэмпинг «Зеленая тропа»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1693&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/grey2000/2021/07/04_Nika_Bathen_-_Konchik_igly.mp3,1693
Дмитрий Корсак,Уйти из Рая,2021-07-10,Глэмпинг «Зеленая тропа»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1692&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/grey2000/2021/07/03_Dmitriy_Korsak_-_Ujti_iz_Raya.mp3,1692
Эльдар Сафин,Последняя битва компьютерной эпохи,2021-07-10,Глэмпинг «Зеленая тропа»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1691&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/grey2000/2021/07/02_Eldar_Safin_-_Poslednyaya_bitva_kompyuternoi_epohi.mp3,1691
Майк Гелприн,В подарок,2021-07-10,Глэмпинг «Зеленая тропа»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1690&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/grey2000/2021/07/01_Maik Gelprin_-_V_podarok.mp3,1690
Таисия Севрюкова,Беда не приходит одна,2021-10-27,Клуб «Aglomerat»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1697&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/grey2000/2021/10/03_Taisiia_Sevriukova_-_Beda_ne_prikhodit_odna.mp3,1697
Ольга Громыко,Великая сила искусства,2021-10-27,Клуб «Aglomerat»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1696&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/grey2000/2021/10/02_Olga_Gromyko_-_Velikaia_sila_iskusstva.mp3,1696
Далия Трускиновская,Педагогический шабаш,2021-10-27,Клуб «Aglomerat»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1695&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/grey2000/2021/10/01_Daliia_Truskinovskaia_-_Pedagogicheskii_shabash.mp3,1695
"Сергей Чекмаев, Андрей Николаев",СтандАрт,2019-03-09,ЛЕНДОК,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1669&filter=0&article=0&posits=0&sortby=20&search=,"http://mds.kallisto.ru/hell/2019/03/01_Sergey_Chekmaev,_Andrey_Nikolaev_-_StandArt.mp3",1669
Далия Трускиновская,Гробус и финансы,2019-03-19,"""ИГЭУ""",http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1673&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2019/03/02_Daliya_Truskinovskaya_-_Grobus_i_finansi.mp3,1673
Майк Гелприн,Улыбка,2019-03-19,"""ИГЭУ""",http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1672&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2019/03/01_Mayk_Gelprin_-_Ulibka.mp3,1672
Леонид Каганов,Всё дело в усах,2019-06-01,«АртМуза» Спб,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1674&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2019/06/Leonid_Kaganov_-_Vse_delo_v_usah.mp3,1674
Майк Гелприн,Беда пришла,2019-09-14,ДК им. Зуева,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1676&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2019/09/02_Mayk_Gelprin_-_Beda_prishla.mp3,1676
Олег Кожин,Разноамериканцы,2019-09-14,ДК им. Зуева,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1675&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2019/09/01_Oleg_Kozhin_-_Raznoamerikantci.mp3,1675
Олег Дивов,Американцы на Луне,2019-10-18,«Планетарий №1» (СПб),http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1683&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2019/10/Oleg_Divov_-_Amerikantci_na_Lune.mp3,1683
Льюис Кэрролл,Алиса в стране чудес,2019-12-15,Клуб «Mezzo Forte»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1684&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2019/12/Lyuis_Kerroll_-_Alisa_v_strane_chudes.mp3,1684
Дэвид Келлер,Восстание пешеходов,2020-02-07,Культурный Центр ЗИЛ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1687&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/02/Devid_Keller_-_Vosstanie_peshehodov.mp3,1687
Александр Беляев,Невидимый свет,2020-03-14,Иллюзион,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1686&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/03/02_Aleksandr_Belyaev_-_Nevidimiy_svet.mp3,1686
Александр Беляев,Мистер Смех,2020-03-14,Иллюзион,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1685&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/03/01_Aleksandr_Belyaev_-_Mister_Smeh.mp3,1685
Ирина Лазаренко,Мастерица забытого мира,2020-07-25,Поленовский пикник,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1682&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/06/06_Irina_Lazarenko_-_Masteritca_zabitogo_mira_(v_2).mp3,1682
Далия Трускиновская,Ворота,2020-07-25,Поленовский пикник,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1681&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/06/05_Daliya_Truskinovskaya_-_Vorota_(v_2).mp3,1681
Елена Щетинина,Кто убил дракона?,2020-07-25,Поленовский пикник,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1680&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/06/04_Elena_Shetinina_-_Kto_ubil_drakona_(v_2).mp3,1680
Джек Макдевитт,"Слушайте, придурки!",2018-01-20,ЦДХ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1656&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/01/01_Dzhek_Makdevitt_-_Slushayte_pridurki.mp3,1656
Николай Немытов,Беспризорники,2018-04-15,Yota Arena,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1660&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/04/03_Nikolay_Nemitov_-_Besprizorniki.mp3,1660
Олег Дивов,На три буквы,2018-04-15,Yota Arena,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1659&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/04/02_Oleg_Divov_-_Na_tri_bukvi.mp3,1659
Сергей Чекмаев,Неизбежные на море случайности,2018-04-15,Yota Arena,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1658&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/04/01_Sergey_Chekmaev_-_Neizbezhnie_na_more_sluchaynosti.mp3,1658
Леонид Каганов,Лимонная планета,2018-05-11,«Эрарта» (CПб),http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1661&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/05/01_Leonid_Kaganov_-_Limonnaya_planeta.mp3,1661
Андрей Дашков,Плата за проезд,2018-06-23,Летний кинотеатр Московского парка «ФИЛИ»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1663&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/06/02_Andrey_Dashkov_-_Plata_za_proezd.mp3,1663
